Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame
Ashraf Amaya,2,Career,,,NBA,,85.0,34.0,14.7,1.6,3.4,0.455,0.0,0.0,0.5,1.6,3.4,0.455,0.457,1.3,2.1,0.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,13,Career,,,NBA,,706.0,445.0,25.0,2.8,6.6,0.42,0.8,2.3,0.33299999999999996,2.0,4.3,0.46799999999999997,0.479,1.3,1.7,0.746,1.4,4.7,6.0,1.2,1.0,0.6,1.2,1.8,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Amundson,19,Career,,,NBA,,428.0,42.0,12.9,1.5,3.2,0.474,0.0,0.0,0.0,1.5,3.2,0.475,0.474,0.6,1.4,0.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Anderegg,1,Career,,,NBA,,33,,11.3,1.7,4.3,0.385,,,,,,,,0.7,1.3,0.5479999999999999,,,2.1,0.9,,,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Andersen,19,Career,,,NBA,,695,45,17.7,1.9,3.6,.532,0.0,0.1,.221,1.9,3.5,.541,.535,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Andersen,4,Career,,,NBA,,103.0,0.0,12.3,2.0,4.5,0.44,0.3,1.0,0.34700000000000003,1.6,3.5,0.467,0.478,0.6,0.9,0.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Anderson,12,Career,,,NBA,,330,66,20.6,2.6,6.3,.405,1.0,2.9,.344,1.6,3.4,.457,.484,1.2,1.5,.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Anderson,7,Career,,,ABA,,194.0,,24.7,4.1,10.1,0.41,0.1,0.3,0.159,4.1,9.8,0.418,0.413,2.4,3.2,0.755,1.6,1.4,2.7,1.7,,,1.6,2.4,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Anderson,1,Career,,,NBA,,1,0,15.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cliff Anderson,6,Career,,,TOT,,84.0,,7.2,0.9,2.5,0.354,0.0,0.0,,0.9,2.5,0.354,0.354,1.3,2.2,0.585,0.3,1.0,1.3,0.9,,,1.0,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Anderson,5,Career,,,ABA,,140.0,,28.8,4.9,10.2,0.48100000000000004,0.0,0.0,,4.9,10.2,0.48100000000000004,0.48100000000000004,2.4,3.4,0.727,3.5,5.9,9.4,1.1,,,1.5,3.6,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Anderson,2,Career,,,NBA,,95,,11.2,1.4,3.0,0.47200000000000003,,,,,,,,0.8,1.0,0.846,0.2,0.7,1.0,1.7,0.4,0.0,,1.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,13,Career,,,NBA,,615.0,390.0,29.2,3.9,9.6,0.408,1.0,3.1,0.341,2.9,6.6,0.44,0.46299999999999997,3.0,3.6,0.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Anderson,1,Career,,,NBA,,5,0,6.6,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,0.5,1.4,2.0,0.7,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Anderson,2,Career,,,NBA,,27,0,3.1,0.4,1.3,0.34299999999999997,0.1,0.1,1.0,0.4,1.2,0.303,0.371,0.6,1.0,0.593,0.4,0.7,1.1,0.2,0.1,0.1,0.3,0.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Anderson,14,Career,,,NBA,,680,315,20.6,3.0,6.0,.492,0.0,0.0,.087,3.0,6.0,.494,.492,1.4,2.5,.557,2.1,4.1,6.2,0.6,0.7,0.9,1.4,2.6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Anderson,5,Career,,,NBA,,157.0,2.0,12.5,1.9,4.2,0.465,0.0,0.1,0.0,1.9,4.1,0.47100000000000003,0.465,0.9,1.6,0.5579999999999999,1.2,1.6,2.8,0.7,0.7,0.2,0.8,1.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Anderson,7,Career,,,NBA,,247.0,83.0,17.5,2.1,5.2,0.41100000000000003,0.8,2.5,0.321,1.3,2.7,0.495,0.488,0.7,0.9,0.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome Anderson,2,Career,,,NBA,,49.0,,5.9,1.0,2.1,0.49,,,,,,,,0.5,0.7,0.6940000000000001,0.3,0.2,0.5,0.3,0.2,0.1,,1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Anderson,7,Career,,,NBA,,226.0,24.0,13.1,1.8,4.5,0.413,0.6,2.2,0.29600000000000004,1.2,2.3,0.522,0.485,0.9,1.2,0.774,0.6,1.9,2.5,0.7,0.4,0.3,0.6,1.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Anderson,23,Career,,,NBA,,858,693,30.1,4.7,11.1,.421,0.6,1.8,.346,4.0,9.2,.436,.449,2.6,3.3,.790,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Anderson,2,Career,,,NBA,,21,,10.7,1.1,3.7,.312,,,,,,,,0.7,1.3,.536,0.8,1.3,2.1,0.7,0.2,0.2,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Anderson,7,Career,,,NBA,,415.0,216.0,20.5,2.5,5.1,0.486,0.4,1.1,0.33399999999999996,2.1,4.0,0.527,0.521,1.0,1.4,0.713,0.7,3.5,4.2,2.2,1.0,0.6,0.9,1.5,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Anderson,1,Career,,,NBA,,36,12,20.3,2.0,4.9,0.41700000000000004,0.0,0.2,0.14300000000000002,2.0,4.7,0.429,0.42,1.6,2.3,0.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Anderson,13,Career,,,NBA,,800.0,636.0,31.2,5.5,12.4,0.446,1.3,3.7,0.35600000000000004,4.2,8.7,0.485,0.5,2.1,3.1,0.667,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Anderson,10,Career,,,NBA,,407,30,14.7,2.2,5.4,.412,0.4,1.1,.333,1.9,4.3,.432,.446,0.7,0.9,.762,1.1,2.4,3.5,1.5,0.6,0.2,0.9,1.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ron Anderson,19,Career,,,NBA,,664,79,22.8,4.4,9.4,.471,0.2,0.6,.287,4.3,8.8,.482,.479,1.6,2.0,.814,1.3,2.2,3.5,1.4,0.7,0.1,1.1,1.5,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Anderson,14,Career,,,NBA,,649.0,289.0,25.8,4.2,10.1,0.42200000000000004,2.0,5.4,0.38,2.2,4.7,0.47,0.523,1.8,2.1,0.8540000000000001,1.9,3.3,5.3,0.9,0.5,0.3,0.9,1.9,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shandon Anderson,12,Career,,,NBA,,719.0,226.0,22.2,2.8,6.1,0.457,0.4,1.4,0.316,2.3,4.7,0.498,0.49200000000000005,1.4,1.9,0.7390000000000001,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willie Anderson,13,Career,,,NBA,,555,432,28.8,5.1,10.7,.471,0.2,0.7,.266,4.9,10.1,.485,.479,1.9,2.4,.786,1.0,2.8,3.8,3.8,1.1,0.6,2.1,2.7,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wally Anderzunas,1,Career,,,NBA,,44,,8.4,1.5,3.8,0.392,,,,,,,,0.7,1.0,0.63,,,1.9,0.2,,,,1.1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martynas Andriuškevičius,1,Career,,,NBA,,6,0,1.5,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Anielak,1,Career,,,NBA,,1,,10.0,0.0,4.0,0.0,,,,,,,,3.0,4.0,0.75,,,2.0,0.0,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ike Anigbogu,2,Career,,,NBA,,14,0,2.6,0.3,0.9,0.33299999999999996,0.0,0.0,,0.3,0.9,0.33299999999999996,0.33299999999999996,0.4,0.4,0.833,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Ansley,5,Career,,,NBA,,149.0,6.0,14.4,2.6,5.0,0.513,0.0,0.0,,2.6,5.0,0.513,0.513,1.7,2.4,0.722,2.1,2.1,4.2,0.4,0.3,0.2,0.6,1.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Anstey,3,Career,,,NBA,,155.0,23.0,13.9,2.0,4.7,0.413,0.0,0.2,0.138,1.9,4.5,0.424,0.41600000000000004,1.3,1.7,0.755,1.1,2.3,3.4,0.8,0.5,0.4,0.9,2.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giannis Antetokounmpo,8,Career,,,NBA,,573,508,32.6,7.6,14.3,0.53,0.6,2.2,0.287,6.9,12.1,0.574,0.552,5.0,6.9,0.718,1.7,7.4,9.1,4.5,1.2,1.3,2.8,3.0,20.8,5.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kostas Antetokounmpo,3,Career,,,NBA,,17.0,0.0,3.9,0.3,0.6,0.455,0.0,0.0,,0.3,0.6,0.455,0.455,0.3,0.7,0.41700000000000004,0.2,0.7,0.9,0.1,0.2,0.2,0.6,0.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,3,Career,,,NBA,,62.0,4.0,9.1,1.4,2.6,0.537,0.1,0.5,0.20600000000000002,1.3,2.1,0.623,0.5579999999999999,0.4,0.8,0.451,0.9,1.1,2.0,0.8,0.4,0.1,0.8,1.2,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmelo Anthony,20,Career,,,NBA,,1172.0,1117.0,35.2,8.3,18.5,0.447,1.3,3.7,0.35100000000000003,7.0,14.8,0.47100000000000003,0.48200000000000004,5.3,6.5,0.813,1.6,4.7,6.4,2.8,1.0,0.5,2.5,2.9,23.1,10.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Anthony,1,Career,,,NBA,,27,17,26.6,4.0,10.9,0.369,1.1,3.3,0.326,3.0,7.6,0.38799999999999996,0.419,1.8,2.2,0.831,0.9,3.6,4.5,3.9,0.6,0.4,2.0,2.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Anthony,13,Career,,,NBA,,757.0,227.0,20.9,2.5,6.3,0.40299999999999997,0.8,2.3,0.349,1.7,4.0,0.434,0.467,1.4,1.9,0.733,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Anthony,12,Career,,,NBA,,490.0,110.0,14.4,0.8,1.6,0.513,0.0,0.0,,0.8,1.6,0.513,0.513,0.5,0.8,0.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Pero Antić,2,Career,,,NBA,,113,29,17.4,2.0,5.2,0.392,1.0,3.0,0.314,1.1,2.2,0.5,0.483,1.2,1.7,0.73,1.0,2.5,3.5,0.9,0.3,0.2,0.9,2.3,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG Anunoby,4,Career,,,NBA,,244,170,24.7,3.3,7.0,0.478,1.3,3.4,0.371,2.1,3.6,0.579,0.568,0.8,1.3,0.675,1.0,2.9,3.9,1.1,1.0,0.4,1.0,2.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Appling,1,Career,,,NBA,,5,0,5.4,0.4,1.6,0.25,0.0,0.6,0.0,0.4,1.0,0.4,0.25,0.4,0.4,1.0,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Araújo,3,Career,,,NBA,,139.0,75.0,11.4,1.1,2.8,0.405,0.0,0.0,0.25,1.1,2.7,0.40700000000000003,0.406,0.5,0.8,0.679,0.9,1.9,2.8,0.3,0.4,0.1,0.8,2.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacey Arceneaux,1,Career,,,NBA,,7,,15.7,3.1,8.0,0.39299999999999996,,,,,,,,0.9,1.9,0.462,,,4.6,0.6,,,,1.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Archibald,5,Career,,,NBA,,44.0,3.0,7.5,0.3,1.2,0.28300000000000003,0.0,0.0,,0.3,1.2,0.28300000000000003,0.28300000000000003,0.5,1.1,0.429,0.6,1.0,1.6,0.4,0.3,0.1,0.4,1.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiny Archibald,14,Career,,,NBA,,876,268,35.6,6.7,14.4,.467,0.1,0.3,.224,6.7,14.3,.469,.468,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8,6.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Ryan Arcidiacono,4,Career,,,NBA,,194,36,18.2,1.7,3.9,0.42700000000000005,0.8,2.3,0.366,0.9,1.7,0.508,0.531,0.7,0.8,0.821,0.3,1.8,2.1,2.3,0.6,0.0,0.6,1.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Ard,10,Career,,,TOT,,431.0,,13.4,1.7,4.3,0.402,0.0,0.1,0.235,1.7,4.3,0.40399999999999997,0.40299999999999997,0.9,1.4,0.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Arenas,14,Career,,,NBA,,552,455,35.1,6.7,16.0,.421,2.0,5.6,.351,4.8,10.5,.458,.482,5.2,6.5,.803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Ariza,25,Career,,,NBA,,1075.0,739.0,29.7,3.7,8.9,0.42200000000000004,1.4,4.1,0.35100000000000003,2.3,4.8,0.483,0.503,1.6,2.1,0.732,1.0,3.8,4.8,2.2,1.5,0.3,1.3,2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Arizin,12,Career,,,NBA,,713,,38.4,7.9,18.7,.421,,,,,,,,7.0,8.7,.810,,,8.6,2.3,,,,3.9,22.8,10.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Joe Arlauckas,13,Career,,,NBA,,9,0,9.4,1.6,4.8,.326,0.0,0.0,,1.6,4.8,.326,.326,0.7,0.9,.750,0.7,0.8,1.4,0.9,0.3,0.4,0.4,1.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J. Armstrong,15,Career,,,NBA,,747.0,341.0,23.8,3.8,8.0,0.47700000000000004,0.6,1.4,0.425,3.2,6.6,0.48700000000000004,0.513,1.6,1.9,0.856,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Bob Armstrong,1,Career,,,NBA,,19,,5.8,0.6,1.9,0.297,,,,,,,,0.3,0.6,0.5,,,2.1,0.2,,,,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Armstrong,3,Career,,,NBA,,108,0,6.5,0.9,2.7,0.35200000000000004,0.2,0.7,0.33299999999999996,0.7,2.0,0.358,0.395,0.1,0.2,0.6,0.2,0.4,0.6,0.2,0.2,0.0,0.3,0.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curly Armstrong,3,Career,,,TOT,,153,,,2.3,7.7,0.295,,,,,,,,2.3,3.3,0.6920000000000001,,,2.3,2.3,,,,3.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Armstrong,18,Career,,,NBA,,840,337,23.7,3.2,7.7,.409,1.1,3.3,.334,2.1,4.5,.465,.480,1.7,2.0,.871,0.8,1.9,2.7,4.0,1.3,0.1,1.9,1.7,9.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hilton Armstrong,11,Career,,,NBA,,292.0,40.0,11.6,1.2,2.4,0.501,0.0,0.0,0.28600000000000003,1.2,2.3,0.503,0.502,0.6,1.1,0.5820000000000001,1.0,1.6,2.6,0.3,0.3,0.5,0.8,1.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tate Armstrong,2,Career,,,NBA,,92,,10.6,1.7,3.8,0.45399999999999996,,,,,,,,0.3,0.4,0.8,0.3,0.6,1.0,1.1,0.4,0.0,0.9,0.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Arnelle,1,Career,,,NBA,,31,,13.2,1.7,5.3,0.317,,,,,,,,1.4,2.2,0.623,,,5.5,0.6,,,,1.9,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Arnette,3,Career,,,NBA,,114,,10.3,1.4,3.9,0.365,,,,,,,,0.9,1.1,0.76,,,1.0,1.2,,,,2.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Arnzen,5,Career,,,TOT,,111,,8.6,1.7,3.7,.465,0.0,0.1,.200,1.7,3.7,.468,.466,0.5,0.7,.800,0.6,0.6,2.0,0.3,0.2,0.1,0.3,0.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Arroyo,19,Career,,,NBA,,569,191,18.7,2.5,5.7,.438,0.2,0.7,.338,2.3,5.0,.452,.459,1.4,1.7,.806,0.4,1.3,1.7,3.1,0.5,0.0,1.2,1.5,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Arthur,10,Career,,,NBA,,503,106,17.8,2.7,6.2,.444,0.3,0.9,.352,2.4,5.3,.460,.470,0.7,0.9,.765,1.1,2.4,3.5,0.8,0.6,0.6,0.8,2.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Arthurs,1,Career,,,NBA,,11,,7.8,1.1,3.2,0.34299999999999997,,,,,,,,1.0,1.4,0.733,,,1.3,1.5,,,,1.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamel Artis,1,Career,,,NBA,,15,1,18.6,2.1,5.3,0.392,0.5,1.9,0.276,1.5,3.3,0.46,0.44299999999999995,0.5,0.8,0.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ömer Aşık,12,Career,,,NBA,,471,262,19.6,2.0,3.8,.528,0.0,0.0,.000,2.0,3.8,.528,.528,1.2,2.3,.551,2.2,4.9,7.1,0.6,0.4,0.7,1.2,2.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincent Askew,17,Career,,,NBA,,467,27,20.0,2.6,5.4,.479,0.2,0.5,.300,2.4,4.9,.499,.494,1.7,2.3,.754,0.9,1.7,2.5,2.2,0.7,0.2,1.1,2.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Askins,9,Career,,,NBA,,486,80,16.4,1.4,3.5,0.401,0.6,1.6,0.355,0.8,1.9,0.44,0.483,0.5,0.6,0.7170000000000001,1.1,1.9,2.9,0.8,0.6,0.3,0.7,2.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Asmonga,1,Career,,,NBA,,7,,6.6,0.3,2.1,0.133,,,,,,,,0.1,0.1,1.0,,,0.1,0.7,,,,1.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dick Atha,3,Career,,,NBA,,43,,10.4,1.2,3.1,.393,,,,,,,,0.7,0.9,.795,,,1.5,1.2,,,,1.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chucky Atkins,19,Career,,,NBA,,696,325,24.9,3.6,8.7,.412,1.3,3.7,.364,2.2,5.0,.447,.489,1.4,1.8,.772,0.3,1.4,1.7,3.4,0.7,0.1,1.5,1.8,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Attles,11,Career,,,NBA,,711,,25.1,3.5,7.8,0.451,,,,,,,,1.9,3.0,0.632,,,3.5,3.5,,,,3.4,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chet Aubuchon,1,Career,,,BAA,,30,,,0.8,3.0,0.253,,,,,,,,0.6,1.2,0.5429999999999999,,,,0.7,,,,1.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacey Augmon,17,Career,,,NBA,,1001.0,472.0,21.6,3.0,6.5,0.469,0.0,0.1,0.152,3.0,6.4,0.473,0.47,1.9,2.6,0.728,1.3,1.9,3.2,1.6,1.0,0.3,1.2,1.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Augustin,21,Career,,,NBA,,913.0,326.0,23.9,3.1,7.6,0.41100000000000003,1.3,3.4,0.379,1.9,4.2,0.43700000000000006,0.495,2.1,2.5,0.867,0.3,1.6,1.9,4.0,0.6,0.0,1.5,1.4,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Augustine,2,Career,,,NBA,,27,0,5.8,0.7,1.4,0.514,0.0,0.0,,0.7,1.4,0.514,0.514,0.1,0.3,0.5,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
